,ds,y
0,2018-01-01,302828330
1,2018-01-02,319485738
2,2018-01-03,322019675
3,2018-01-04,314645741
4,2018-01-05,310155899
5,2018-01-06,316702185
6,2018-01-07,324186750
7,2018-01-08,335431026
8,2018-01-09,321991203
9,2018-01-10,318603157
10,2018-01-11,327306183
11,2018-01-12,308518899
12,2018-01-13,314518803
13,2018-01-14,341467997
14,2018-01-15,346801956
15,2018-01-16,332404256
16,2018-01-17,329626172
17,2018-01-18,346227443
18,2018-01-19,316299327
19,2018-01-20,303292818
20,2018-01-21,326682372
21,2018-01-22,341515484
22,2018-01-23,329910617
23,2018-01-24,321322164
24,2018-01-25,316707019
25,2018-01-26,310964880
26,2018-01-27,308760934
27,2018-01-28,325955174
28,2018-01-29,337205984
29,2018-01-30,323091074
30,2018-01-31,320642885
31,2018-02-01,312643557
32,2018-02-02,303181377
33,2018-02-03,303051044
34,2018-02-04,326780028
35,2018-02-05,337460883
36,2018-02-06,320093643
37,2018-02-07,316192208
38,2018-02-08,318587141
39,2018-02-09,311243801
40,2018-02-10,303165868
41,2018-02-11,318919775
42,2018-02-12,330482574
43,2018-02-13,318445405
44,2018-02-14,309269954
45,2018-02-15,307384594
46,2018-02-16,308753553
47,2018-02-17,315352215
48,2018-02-18,336919919
49,2018-02-19,340432452
50,2018-02-20,325887866
51,2018-02-21,331532037
52,2018-02-22,335397735
53,2018-02-23,322847083
54,2018-02-24,312668576
55,2018-02-25,340574594
56,2018-02-26,354301601
57,2018-02-27,340134463
58,2018-02-28,319945935
59,2018-03-01,318175725
60,2018-03-02,307814339
61,2018-03-03,301870813
62,2018-03-04,335452295
63,2018-03-05,341831429
64,2018-03-06,315087510
65,2018-03-07,313130565
66,2018-03-08,310028113
67,2018-03-09,289859166
68,2018-03-10,278290649
69,2018-03-11,302140207
70,2018-03-12,314449106
71,2018-03-13,300380973
72,2018-03-14,311480543
73,2018-03-15,301904526
74,2018-03-16,286430007
75,2018-03-17,278987674
76,2018-03-18,298993282
77,2018-03-19,308390176
78,2018-03-20,294762447
79,2018-03-21,295705015
80,2018-03-22,294156473
81,2018-03-23,283407906
82,2018-03-24,277636125
83,2018-03-25,290927648
84,2018-03-26,305717400
85,2018-03-27,296904147
86,2018-03-28,288847105
87,2018-03-29,283686209
88,2018-03-30,282535832
89,2018-03-31,274449811
90,2018-04-01,290235106
91,2018-04-02,311226037
92,2018-04-03,303916252
93,2018-04-04,298591311
94,2018-04-05,287630310
95,2018-04-06,284977750
96,2018-04-07,283240634
97,2018-04-08,304942114
98,2018-04-09,318569836
99,2018-04-10,307443314
100,2018-04-11,308225636
101,2018-04-12,316179856
102,2018-04-13,301407702
103,2018-04-14,284050367
104,2018-04-15,318006849
105,2018-04-16,325941030
106,2018-04-17,302461259
107,2018-04-18,300851394
108,2018-04-19,293498562
109,2018-04-20,283266082
110,2018-04-21,270620673
111,2018-04-22,287747733
112,2018-04-23,302523229
113,2018-04-24,300709165
114,2018-04-25,309437990
115,2018-04-26,297731622
116,2018-04-27,290627627
117,2018-04-28,274636558
118,2018-04-29,298364306
119,2018-04-30,317359841
120,2018-05-01,302332775
121,2018-05-02,295478029
122,2018-05-03,296932606
123,2018-05-04,290364467
124,2018-05-05,280413461
125,2018-05-06,288491590
126,2018-05-07,305415124
127,2018-05-08,301793366
128,2018-05-09,295473432
129,2018-05-10,299000581
130,2018-05-11,281971857
131,2018-05-12,277831417
132,2018-05-13,290456275
133,2018-05-14,304702511
134,2018-05-15,306687543
135,2018-05-16,308209927
136,2018-05-17,297449473
137,2018-05-18,288317718
138,2018-05-19,301142295
139,2018-05-20,312401975
140,2018-05-21,318995937
141,2018-05-22,307079480
142,2018-05-23,297872016
143,2018-05-24,287034865
144,2018-05-25,278299135
145,2018-05-26,269032410
146,2018-05-27,281949241
147,2018-05-28,297158649
148,2018-05-29,302888534
149,2018-05-30,286750058
150,2018-05-31,284187593
151,2018-06-01,277480389
152,2018-06-02,269152267
153,2018-06-03,281935112
154,2018-06-04,291106579
155,2018-06-05,285321854
156,2018-06-06,281443215
157,2018-06-07,286902527
158,2018-06-08,283896205
159,2018-06-09,273519800
160,2018-06-10,286919419
161,2018-06-11,293852873
162,2018-06-12,282094871
163,2018-06-13,282212165
164,2018-06-14,277677281
165,2018-06-15,266401770
166,2018-06-16,255779378
167,2018-06-17,285796606
168,2018-06-18,309339458
169,2018-06-19,304995086
170,2018-06-20,296218099
171,2018-06-21,289005332
172,2018-06-22,285338230
173,2018-06-23,281370491
174,2018-06-24,293588861
175,2018-06-25,300426336
176,2018-06-26,290102370
177,2018-06-27,288898505
178,2018-06-28,284813519
179,2018-06-29,275136103
180,2018-06-30,278684286
181,2018-07-01,288922269
182,2018-07-02,294995964
183,2018-07-03,295163624
184,2018-07-04,292873103
185,2018-07-05,289874444
186,2018-07-06,282078704
187,2018-07-07,284788300
188,2018-07-08,293580187
189,2018-07-09,291731396
190,2018-07-10,296051811
191,2018-07-11,287541963
192,2018-07-12,283332697
193,2018-07-13,279823107
194,2018-07-14,279395138
195,2018-07-15,306129597
196,2018-07-16,302456135
197,2018-07-17,289984376
198,2018-07-18,284755133
199,2018-07-19,281299747
200,2018-07-20,268311706
201,2018-07-21,263558899
202,2018-07-22,280972889
203,2018-07-23,286982166
204,2018-07-24,280130057
205,2018-07-25,281148385
206,2018-07-26,277075683
207,2018-07-27,271634161
208,2018-07-28,264567774
209,2018-07-29,285756063
210,2018-07-30,303317837
211,2018-07-31,288952484
212,2018-08-01,290354486
213,2018-08-02,284750411
214,2018-08-03,274760313
215,2018-08-04,270332124
216,2018-08-05,284107533
217,2018-08-06,294367026
218,2018-08-07,286814035
219,2018-08-08,279542903
220,2018-08-09,277991413
221,2018-08-10,269554027
222,2018-08-11,262649310
223,2018-08-12,281554094
224,2018-08-13,286069930
225,2018-08-14,283344778
226,2018-08-15,282825544
227,2018-08-16,279270864
228,2018-08-17,274477509
229,2018-08-18,267209646
230,2018-08-19,284047472
231,2018-08-20,291827118
232,2018-08-21,281167698
233,2018-08-22,286064599
234,2018-08-23,274162518
235,2018-08-24,270253617
236,2018-08-25,270633073
237,2018-08-26,285865947
238,2018-08-27,295877748
239,2018-08-28,285819305
240,2018-08-29,290690660
241,2018-08-30,287291261
242,2018-08-31,278926573
243,2018-09-01,272065470
244,2018-09-02,282660914
245,2018-09-03,304277941
246,2018-09-04,304941690
247,2018-09-05,290440730
248,2018-09-06,291801845
249,2018-09-07,282974226
250,2018-09-08,276031888
251,2018-09-09,288702628
252,2018-09-10,297806996
253,2018-09-11,291024633
254,2018-09-12,281205973
255,2018-09-13,277716539
256,2018-09-14,271886389
257,2018-09-15,268872042
258,2018-09-16,285290091
259,2018-09-17,296707124
260,2018-09-18,293961973
261,2018-09-19,281313491
262,2018-09-20,281778126
263,2018-09-21,271938267
264,2018-09-22,267361066
265,2018-09-23,283354623
266,2018-09-24,290241730
267,2018-09-25,283004414
268,2018-09-26,283165597
269,2018-09-27,276919559
270,2018-09-28,265628552
271,2018-09-29,258355412
272,2018-09-30,282147397
273,2018-10-01,289269499
274,2018-10-02,290469087
275,2018-10-03,284459016
276,2018-10-04,280129094
277,2018-10-05,277692407
278,2018-10-06,272021248
279,2018-10-07,288026231
280,2018-10-08,299940591
281,2018-10-09,293859902
282,2018-10-10,286860083
283,2018-10-11,285800144
284,2018-10-12,280380852
285,2018-10-13,268539580
286,2018-10-14,284685831
287,2018-10-15,295712252
288,2018-10-16,289695633
289,2018-10-17,291316826
290,2018-10-18,283819972
291,2018-10-19,273396522
292,2018-10-20,269505366
293,2018-10-21,287371208
294,2018-10-22,296095252
295,2018-10-23,295228128
296,2018-10-24,299337487
297,2018-10-25,301341205
298,2018-10-26,288995979
299,2018-10-27,278572902
300,2018-10-28,295852468
301,2018-10-29,312246326
302,2018-10-30,301493042
303,2018-10-31,294793967
304,2018-11-01,291545744
305,2018-11-02,288934783
306,2018-11-03,279208162
307,2018-11-04,296895590
308,2018-11-05,300642235
309,2018-11-06,291248365
310,2018-11-07,287559232
311,2018-11-08,283534413
312,2018-11-09,278112436
313,2018-11-10,280762568
314,2018-11-11,298719614
315,2018-11-12,311840608
316,2018-11-13,304888146
317,2018-11-14,293655735
318,2018-11-15,288508339
319,2018-11-16,277448557
320,2018-11-17,270398024
321,2018-11-18,290970297
322,2018-11-19,297448433
323,2018-11-20,287897209
324,2018-11-21,283101863
325,2018-11-22,275772158
326,2018-11-23,267794535
327,2018-11-24,274941316
328,2018-11-25,287153095
329,2018-11-26,297001431
330,2018-11-27,291723162
331,2018-11-28,291382759
332,2018-11-29,288190014
333,2018-11-30,269966843
334,2018-12-01,269088426
335,2018-12-02,287298366
336,2018-12-03,304641822
337,2018-12-04,296026024
338,2018-12-05,300848478
339,2018-12-06,295238944
340,2018-12-07,293663071
341,2018-12-08,302551090
342,2018-12-09,326683576
343,2018-12-10,327035252
344,2018-12-11,315379081
345,2018-12-12,306180622
346,2018-12-13,305264218
347,2018-12-14,295552567
348,2018-12-15,282382981
349,2018-12-16,300201682
350,2018-12-17,316359069
351,2018-12-18,304531426
352,2018-12-19,297787847
353,2018-12-20,290375221
354,2018-12-21,279031864
355,2018-12-22,278425628
356,2018-12-23,286573018
357,2018-12-24,291005363
358,2018-12-25,294782918
359,2018-12-26,300965583
360,2018-12-27,305502149
361,2018-12-28,301813241
362,2018-12-29,304253038
363,2018-12-30,314870934
364,2018-12-31,302878752
365,2019-01-01,312601914
366,2019-01-02,326949126
367,2019-01-03,321689932
368,2019-01-04,315004706
369,2019-01-05,317146245
370,2019-01-06,333180513
371,2019-01-07,342244202
372,2019-01-08,325989103
373,2019-01-09,315919084
374,2019-01-10,312925738
375,2019-01-11,308030855
376,2019-01-12,311056530
377,2019-01-13,323122651
378,2019-01-14,331391099
379,2019-01-15,325564204
380,2019-01-16,318047667
381,2019-01-17,313508051
382,2019-01-18,317510491
383,2019-01-19,312722503
384,2019-01-20,334792619
385,2019-01-21,334636932
386,2019-01-22,326482854
387,2019-01-23,317800016
388,2019-01-24,313064861
389,2019-01-25,299614641
390,2019-01-26,296418351
391,2019-01-27,311411312
392,2019-01-28,312245328
393,2019-01-29,303576210
394,2019-01-30,301980279
395,2019-01-31,298057463
396,2019-02-01,294783075
397,2019-02-02,285853494
398,2019-02-03,310057169
399,2019-02-04,322615450
400,2019-02-05,300060739
401,2019-02-06,294300632
402,2019-02-07,288631271
403,2019-02-08,292322070
404,2019-02-09,284884431
405,2019-02-10,312192081
406,2019-02-11,330141112
407,2019-02-12,305915685
408,2019-02-13,297965818
409,2019-02-14,290988300
410,2019-02-15,287655062
411,2019-02-16,287306444
412,2019-02-17,302829694
413,2019-02-18,311558582
414,2019-02-19,305730692
415,2019-02-20,299141565
416,2019-02-21,295474037
417,2019-02-22,290411544
418,2019-02-23,286692736
419,2019-02-24,300871332
420,2019-02-25,333673377
421,2019-02-26,307512767
422,2019-02-27,299159532
423,2019-02-28,291399260
424,2019-03-01,281825337
425,2019-03-02,281585931
426,2019-03-03,302395290
427,2019-03-04,313267372
428,2019-03-05,296821448
429,2019-03-06,291010985
430,2019-03-07,287737182
431,2019-03-08,277788475
432,2019-03-09,283562895
433,2019-03-10,305264624
434,2019-03-11,308391562
435,2019-03-12,296922945
436,2019-03-13,289114675
437,2019-03-14,292489500
438,2019-03-15,279020392
439,2019-03-16,279908459
440,2019-03-17,303826168
441,2019-03-18,310729591
442,2019-03-19,293862326
443,2019-03-20,290586417
444,2019-03-21,291530778
445,2019-03-22,286456158
446,2019-03-23,285923076
447,2019-03-24,302945936
448,2019-03-25,303473804
449,2019-03-26,290341417
450,2019-03-27,293395068
451,2019-03-28,294222265
452,2019-03-29,278193916
453,2019-03-30,280096985
454,2019-03-31,296148294
455,2019-04-01,304511763
456,2019-04-02,290394867
457,2019-04-03,293963060
458,2019-04-04,297691320
459,2019-04-05,288238040
460,2019-04-06,279028391
461,2019-04-07,296741026
462,2019-04-08,315311592
463,2019-04-09,313514699
464,2019-04-10,304948408
465,2019-04-11,306233152
466,2019-04-12,301650000
467,2019-04-13,293470259
468,2019-04-14,318655210
469,2019-04-15,322725319
470,2019-04-16,313679547
471,2019-04-17,299425985
472,2019-04-18,287866552
473,2019-04-19,284392194
474,2019-04-20,277715218
475,2019-04-21,294623113
476,2019-04-22,307909493
477,2019-04-23,301280502
478,2019-04-24,299588980
479,2019-04-25,298970715
480,2019-04-26,293532962
481,2019-04-27,287907307
482,2019-04-28,300856191
483,2019-04-29,294763594
484,2019-04-30,289238397
485,2019-05-01,291029845
486,2019-05-02,288006244
487,2019-05-03,279216829
488,2019-05-04,273965951
489,2019-05-05,289856849
490,2019-05-06,297018844
491,2019-05-07,285208172
492,2019-05-08,295103126
493,2019-05-09,283456178
494,2019-05-10,278651924
495,2019-05-11,281156132
496,2019-05-12,293989961
497,2019-05-13,297011582
498,2019-05-14,290965537
499,2019-05-15,280154867
500,2019-05-16,280223192
501,2019-05-17,276378539
502,2019-05-18,272859659
503,2019-05-19,285642820
504,2019-05-20,291501601
505,2019-05-21,287030691
506,2019-05-22,286066414
507,2019-05-23,295444190
508,2019-05-24,278447460
509,2019-05-25,269231241
510,2019-05-26,288214072
511,2019-05-27,296777669
512,2019-05-28,299298508
513,2019-05-29,291825175
514,2019-05-30,286939625
515,2019-05-31,279827001
516,2019-06-01,268802915
517,2019-06-02,283588870
518,2019-06-03,285136573
519,2019-06-04,280805702
520,2019-06-05,277119706
521,2019-06-06,276540657
522,2019-06-07,281148162
523,2019-06-08,278195207
524,2019-06-09,290128907
525,2019-06-10,300350780
526,2019-06-11,292585502
527,2019-06-12,293180071
528,2019-06-13,290957222
529,2019-06-14,284747956
530,2019-06-15,277904384
